OP,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20
-,927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,1500,1378,8419,4457,1275,4750,8106,9451,5593,283,650,5589,460,4279,9627,3161,8435,1878,7731,7619
+,9273,7779,8834,8068,4523,403,4672,9031,8993,9715,7323,7599,3492,3146,8003,2613,7959,850,4060,6836
+,5638,6821,7110,3409,2819,8022,4346,7518,2122,455,482,4844,3928,5867,5278,6512,2335,5109,1632,5690
+,4427,3152,182,5388,5221,9673,1145,6815,9227,8998,9038,5189,4107,4376,3638,450,2806,2940,8737,3766
+,1793,7332,4709,3875,1856,9650,206,3408,4881,9158,8991,5195,81,9232,741,5069,7094,6420,3225,292
+,559,3100,3539,7627,1923,8,73,1722,5125,5765,1915,9720,2914,655,181,8298,6657,3289,5307,3098
+,7516,6761,9807,4526,1815,1275,8559,8033,7668,7614,4913,7689,6077,3311,7930,8300,4258,2416,3134,6855
-,411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,8438,3838,7799,687,8450,8480,1247,1667,9214,2801,4041,1661,3380,5529,5116,6180,639,3135,6316,7236
+,5390,9491,2824,4213,7427,5483,6355,1931,4391,8437,142,9547,7353,1728,794,6509,8292,3496,34,4732
+,543,6495,7410,745,9836,6328,7855,4607,8553,3357,829,6016,5463,1655,3351,5356,1944,2559,7095,8523
+,8749,8291,8462,8096,4487,4320,6847,9383,9835,5857,4622,795,8124,6754,2602,8102,6931,9686,8036,5558
+,5978,5001,3853,5005,4284,3925,5746,6510,1034,3868,5842,5082,5253,1867,2583,9687,1772,7350,8328,8044
+,4925,6907,9341,2647,9937,7969,939,9057,9091,1359,6871,7579,3867,8867,992,3852,4026,5313,3908,9964
+,6328,4618,3315,744,8472,5237,4746,3482,8458,3344,4541,707,2374,7784,8210,7270,2306,7779,8536,4026
+,9743,3244,3623,9235,4615,538,3680,965,2233,9652,8528,8570,1960,100,3767,3541,1103,7589,3830,8460
+,8315,7815,2663,7229,9034,1315,4199,9160,2707,3060,2882,7242,9388,8014,7646,8231,521,5754,8150,390
+,3765,9857,401,2934,7493,5708,82,9997,1169,1007,237,3442,1845,3186,7491,9320,3241,9025,5135,5687
+,2889,1163,9180,9941,6147,2558,8418,6253,9132,1925,8890,9635,9809,1812,9817,6702,5612,2229,129,3578
+,5650,3338,4407,3593,2124,5602,4062,2955,9714,264,6461,1794,1330,1546,1352,5134,6866,9571,3312,1858
+,595,575,7144,9661,873,4354,5233,2319,418,1770,5845,8840,8706,2566,5755,6857,3733,5135,3955,4028
+,1060,7399,3755,7132,7416,9543,8046,8602,5923,3041,8085,7812,6720,1478,2763,8377,703,3137,758,6933
+,8273,2673,9103,2336,2635,6081,6388,2041,3968,6307,8822,3987,5586,1297,2189,7408,7325,9330,2800,516
+,2655,6221,5144,8746,1056,579,9199,8195,6744,3046,1185,1043,6043,7428,4398,6126,1608,5321,4808,8068
+,6083,7852,1027,3817,2994,8652,6989,1308,302,2257,69,124,6089,288,6329,5422,5610,3635,6063,4443
+,8296,4502,4419,6387,4652,5984,5360,1957,987,4266,9223,6187,3597,9751,2632,8708,2543,6032,987,1777
+,9707,6713,7915,2439,5794,9941,3570,8390,2691,1325,2960,4859,1193,9013,6523,8308,1993,9431,3385,8462
+,4953,3214,7481,2556,8417,2086,3242,8211,6186,1770,9617,7576,7778,9240,9971,2891,632,130,6297,9339
+,3944,6666,8617,6427,1844,7134,5201,6034,5917,3368,760,9180,1703,8902,85,4387,8777,8969,401,5005
+,8379,6214,1423,3447,2311,9383,6936,4166,6481,5984,1390,1398,5536,3536,5333,7680,5440,7398,4728,9625
+,1968,2729,5326,7949,3835,5434,3448,1739,8175,1196,946,1299,7308,249,1546,225,5878,457,7656,3013
+,1682,2535,1973,8294,5206,8954,3695,3335,8829,6446,1874,9443,2196,2055,1765,6012,6548,9374,7733,773
+,6703,9295,8054,2456,2086,7004,468,4413,5620,7732,7034,1134,4835,3475,3215,5241,2344,7034,548,5089
+,8817,217,9433,77,6862,5977,3518,8637,6445,6646,5336,4450,6426,3058,6296,2046,8088,7724,6061,9420
+,2930,2481,7209,4881,5520,1993,1141,1638,5808,5720,7306,3359,7682,4899,9578,7331,2634,9904,8843,5902
+,6340,8597,698,5165,6159,5891,2501,7500,2689,4872,5888,8882,3713,2503,2860,3490,5079,9889,4470,222
+,9941,4648,8624,5371,7315,8826,138,1033,1795,1968,6877,1715,5191,391,1844,7453,9579,6346,6526,3479
+,9262,3177,8671,6708,9766,3035,2026,21,6439,3548,9731,3460,9777,3287,8275,285,4055,417,3748,3190
+,5288,3838,518,5373,3619,6678,9893,7945,4464,2398,2876,2457,409,7104,7832,6615,4634,4521,9485,4709
+,9323,1445,9510,2331,3036,5849,3941,4242,1353,2579,5843,9026,8160,4372,2228,9616,6687,5026,1402,4009
+,4628,4422,5751,4644,5234,1536,5198,8269,2528,514,5402,1678,7847,7919,5672,7517,6133,2018,118,1624
+,8340,9359,5061,3846,8125,9881,5394,4386,8079,6370,7748,2160,6258,3322,1823,3953,2504,8774,7198,5268
+,2610,5147,7461,4781,9537,803,6840,5568,3684,4709,3471,1030,7828,8578,8448,5499,8711,6645,3237,3078
+,8922,8643,6750,5324,6783,585,1322,3203,2625,7240,6123,5954,6835,2042,6972,3221,2890,7390,2395,4150
+,2490,8057,6456,7316,370,7911,6366,375,254,4239,9544,8094,8,653,7304,1181,7488,1095,4517,8379
+,6296,9730,7617,5759,813,2243,1468,5648,4679,9375,5339,4931,274,1020,1357,2320,1921,1236,6432,5854
+,8916,5842,6523,6823,3986,9971,9840,6269,6826,8545,8716,3318,6573,6328,2045,2588,6098,8347,2237,9356
+,4146,1678,9469,2175,9342,2123,9006,9221,2738,2812,2514,2506,3818,4775,726,9223,2113,4628,4792,148
+,1642,9372,3001,1970,7257,5549,5351,4204,5737,2191,7389,6151,378,1487,1656,7907,3582,18,188,4359
-,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,9289,1170,9323,6686,1437,2356,7282,8275,9979,3912,6532,4546,1552,9988,3528,7659,5443,7339,9877,3199
+,2413,6242,9184,6563,8124,5461,3565,8809,7260,9787,7848,977,9506,9435,9876,4784,2731,2887,3086,3088
+,2456,2549,9252,92,4264,9840,64,5118,255,3981,5594,2374,4316,4421,6222,6692,4902,863,6308,1123
+,7226,6342,9800,1139,5774,387,5630,1508,8115,964,9915,3678,4324,9010,2088,872,9152,1419,346,1736
+,9622,3698,9250,8037,7754,4681,6525,5933,6611,1856,3339,8873,191,2395,3503,3750,242,1049,9327,798
+,376,5575,9294,7150,1580,7058,7228,8226,6629,3736,8020,4139,8073,8881,9538,4655,5354,2922,9110,5615
+,9543,2694,8257,265,1,2924,8389,6506,5446,4723,3131,1571,3314,4262,1294,1417,3705,2644,2153,3851
+,3679,9390,9205,7536,8026,2119,9377,9099,6012,3170,5330,1399,6140,7281,3366,5051,468,2443,6561,6988
+,3911,5979,8221,7676,8038,5075,5566,1163,2233,4197,690,1434,6755,1772,1278,6630,1526,4211,9421,125
+,3016,5059,9328,7826,8407,8665,430,5073,7004,864,5920,4854,2588,4282,4081,1563,1741,8424,9990,1255
+,7684,7205,7948,396,1417,6326,1073,5165,1455,1188,1829,592,5269,4649,9980,6586,31,5564,7619,9934
+,246,9262,4411,611,1298,6267,8165,3552,4213,9475,705,6988,536,1565,9242,6072,4325,4594,9108,8080
+,7051,4437,2045,8954,7521,2332,798,2488,4827,7450,1467,281,8028,5784,167,1150,9552,2643,1446,2528
+,8437,2677,1886,633,5142,51,124,3549,2083,9892,9594,6810,5619,9617,222,999,5474,1600,8094,1211
-,724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,7945,6532,3845,830,4515,5815,5390,8864,4787,1038,6595,7320,4472,3967,4855,3833,1735,8301,2877,2044
+,8546,1655,7747,1111,4444,1201,1192,3061,6936,7280,8817,907,9305,4851,9652,5864,2232,5707,960,6815
+,2139,5669,6848,3979,3355,8011,9561,2458,7436,78,9980,7351,7204,1709,8953,9552,6995,8957,7751,8882
+,3237,8044,2723,3817,1647,59,5099,7630,3566,3189,5387,5786,2874,8861,9848,7680,9791,4228,4379,6823
+,5799,9932,7777,3772,24,4054,7303,5519,6032,7948,964,4649,7727,9627,4939,4775,7678,1763,4107,3146
-,542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,9684,1229,1697,875,1361,8183,5101,4944,88,4154,2821,5707,767,9599,5903,1621,8112,3470,8015,1677
+,8246,4126,558,7266,5482,8247,724,4942,5705,9323,2009,8669,1213,4828,3449,6345,540,4574,759,1561
+,298,5387,1019,9360,8268,5258,4318,8784,7721,6450,1000,9258,4605,4521,2877,2833,8355,5593,5828,9289
+,3263,2511,6029,4683,7984,3962,6249,4003,8597,9314,5568,7826,9432,4749,984,1644,6087,8512,1063,8330
+,7055,1737,9585,6248,4882,6295,3765,5843,791,1673,9279,4532,8262,415,8758,2164,4815,7955,9580,9457
-,852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,8137,303,5593,8826,7919,1530,6218,2492,8011,3365,3792,8546,2858,5958,6772,2614,8196,3821,1046,1224
-,759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,9088,2168,4819,4297,7588,9443,6953,272,6166,3927,5628,2788,8230,4220,8887,9809,8707,725,2174,4141
+,309,7656,7560,1695,7117,3655,159,1289,6595,2126,9353,9666,4476,2742,6931,1444,4602,5769,3138,7752
+,833,6462,5522,6292,9752,8121,4879,1594,4129,3168,1007,8158,5513,853,708,7710,2579,4876,3178,3886
+,6069,5145,8969,3215,6441,6176,5383,8892,6962,958,907,8228,2701,8957,532,108,6848,333,7037,483
+,9875,1122,3227,2886,1492,590,9481,1065,3095,6125,1826,4585,1452,9508,3399,8233,9699,512,40,4070
+,5867,8717,4744,6383,7760,2446,9727,6353,9371,441,526,8958,1602,201,1399,4526,7733,1028,6709,8383
+,3593,319,6117,5116,6693,1818,8129,836,4924,1519,4510,9651,5882,6028,3270,1490,3200,5278,2943,4225
+,1388,6998,3140,3869,9245,9074,7152,2945,3470,5123,5312,9764,4997,115,2494,9480,2022,7145,1344,6269
+,5622,2323,4644,6659,3697,3187,1504,1547,8461,5458,815,5309,2930,5801,3095,4711,2926,3149,1216,7190
+,5932,7094,4911,7190,3683,7,3590,6442,730,1069,809,1608,8796,767,2754,8780,6909,5365,7808,7344
+,3298,1267,8377,1160,9144,2974,7935,9306,1492,1101,224,4791,5496,4622,4776,7212,4739,4666,8529,7112
+,260,6342,2754,8710,8327,7364,9364,6849,2379,5794,9804,315,5526,2976,2840,5505,40,738,9852,5983
+,3452,9022,4402,1788,5383,1912,1473,5730,8762,3393,2014,3217,859,7072,5550,7029,6874,3561,4750,8142
+,9421,8682,7460,9015,8259,2171,3482,1696,4006,6710,1791,1129,4024,5476,1423,3537,2714,7060,8206,8301
+,3946,261,6212,7225,6164,8768,3065,821,9813,9750,8225,3532,7767,4866,3234,2884,312,1192,6141,1416
+,9719,7070,7784,9773,5874,4034,4716,8047,1330,8927,9667,5191,4186,9991,2705,71,2862,8822,1843,4244
+,8123,5638,83,4985,3563,6637,3176,7633,4870,4795,2598,7407,4547,3940,1006,6081,7141,9325,7946,5530
+,9614,2693,2278,936,3316,9809,1204,9266,8267,4820,6781,2398,1081,9457,9026,1421,247,5193,3172,9315
+,9650,8572,4029,5575,4163,7709,4316,2578,7952,7303,9682,8533,3410,2420,3423,7919,803,5025,5986,2330
+,2366,4718,3671,7680,2783,3006,717,3767,2663,8046,484,6660,3650,7156,2464,7684,2785,657,2906,8725
+,4979,1299,2173,4262,2987,4903,4132,3277,1517,2427,1685,6125,6778,4238,6455,2203,3578,101,7280,7256
+,2749,130,9497,2919,998,8345,9639,6095,6101,622,4697,6930,2785,9522,4949,2760,1519,4717,6361,588
+,8125,1481,4269,7647,7796,2017,9793,2187,6163,8890,9743,6293,7909,7974,8201,6478,6551,6406,7846,5796
+,6961,5617,492,5753,6332,5907,2178,9176,9643,9693,6839,1049,1765,8139,510,809,1436,1705,7175,5943
+,162,5160,7086,7581,3043,571,8666,8093,881,1454,3548,6597,2206,1681,6011,8348,7442,1440,6996,1879
-,560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,3386,3736,7950,7541,7472,3529,8272,3386,4201,7639,5747,6764,4676,9602,8280,789,2754,3331,6091,6471
+,384,845,2096,1347,3560,6852,5507,3747,696,6179,9476,5592,5142,9557,1919,2670,3112,3329,4915,6255
+,9482,3944,7687,4781,5190,5986,6286,9590,5542,8470,7401,400,9442,8077,2197,8767,1792,1379,1448,840
+,6137,3178,7039,134,3593,9575,1063,7514,6086,1743,1598,5521,9883,9143,651,8510,3458,8965,1840,2898
+,8174,4318,1313,2235,1802,1428,2968,5508,5169,6167,3818,8638,8482,9423,4711,6608,9466,247,3227,4072
-,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,7011,7040,4163,8293,2057,8734,9123,2942,4527,1377,4404,6989,3324,2907,3571,5794,4642,2879,4562,6939
+,2549,5051,3164,2608,7434,4149,2522,4822,9691,7201,4129,7992,9351,7895,2247,1001,8944,5242,7665,8014
+,7014,3023,6747,3376,4044,1835,5931,7490,1618,9545,1474,7588,9989,3342,7559,5696,8689,99,7785,8203
+,6218,554,7394,2022,9623,9510,7874,100,7815,8417,6422,1287,8584,7452,8200,729,8553,6470,4147,8427
+,9329,6419,8867,6792,6111,3461,2966,8412,9571,9367,9262,2184,9985,1027,8865,917,3131,4678,4458,689
+,4337,9116,442,8810,3768,8979,113,6195,5058,8817,7118,5574,8018,7049,6919,8941,9291,629,1740,2120
+,3716,533,9686,5015,1746,8859,3051,9862,1335,2032,2646,2515,6166,5254,2295,8538,5434,8664,6186,1947
+,1471,416,7841,6967,414,7645,6769,2893,5544,2058,6182,7822,5036,5487,3352,7004,65,241,9914,8249
+,5893,7657,5965,6541,1255,7596,2136,285,1460,9635,4212,46,4174,2155,2637,4189,5154,5872,1938,6212
+,6970,8063,1496,5493,9928,8391,1521,4396,7211,1288,7515,7427,8831,4972,3908,2551,8952,2955,3321,3237
+,5818,3976,774,7800,9152,8553,8312,4627,2034,3105,5226,6309,3615,4637,700,5843,3750,8756,3187,9262
+,579,5471,1770,9271,9671,1072,6291,7118,1507,960,3997,2802,5933,2735,1207,3724,8521,4443,8016,6802
+,3077,1356,3795,4853,8372,3635,1695,1300,947,6822,7359,6943,1458,3871,9010,8077,6183,5469,6313,9776
+,3140,6364,8630,6288,2212,4427,1615,7280,5732,7348,4552,2759,8400,104,8459,8790,5556,5952,8855,5731
+,4684,4979,7216,9270,6166,1446,5187,2890,3075,1767,190,6309,3025,7194,4199,3205,7797,9208,2235,579
+,4593,1672,8869,4278,89,3851,6832,3591,2984,6842,9792,5825,2559,3736,4681,7039,3364,294,7455,6080
+,3108,5438,3716,955,3102,5961,6932,7552,9225,7205,6290,2807,2493,9248,5635,3842,1461,4055,896,264
+,6391,9468,3033,7589,7654,6575,1816,2988,111,3508,6417,1554,8287,8243,1208,585,3751,7010,5622,9984
-,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,7104,9941,536,787,5365,1303,7971,1842,6284,6351,2115,6137,5494,8519,3056,9791,1287,6521,4595,581
+,6789,4065,2653,7293,1382,6500,3819,352,5621,402,2344,7998,4896,9752,722,9222,6643,5016,1408,1706
+,3413,6800,3462,9622,56,4594,257,8016,9323,7322,856,7175,4943,9651,5723,683,159,7493,7275,8426
-,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,3526,90,3164,910,7308,9892,237,3400,4462,9368,8327,791,866,7673,5746,608,3386,1368,1017,7722
+,85,8458,3436,3075,7400,7708,7344,5674,9814,3074,70,7480,4672,3652,2860,5834,2734,2805,3152,6014
+,5061,4064,1434,6955,9263,454,3517,3050,7335,6590,2510,2080,3147,1356,4017,2229,64,411,8237,3440
+,9863,7211,4452,7854,7538,2884,4433,4734,4681,4416,1965,9442,7748,6456,3869,7544,350,4949,51,662
+,8313,808,859,674,8171,2167,4951,3080,1197,2627,3064,5693,9978,5709,7093,6359,4047,6400,2,4688
-,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,9998,1461,5958,8902,8600,4339,5951,2763,55,9315,4397,1818,586,5066,3772,3113,2379,8640,6665,7395
+,9336,7635,864,9990,9739,9065,1389,9351,6989,7302,2560,425,7330,5802,2495,4755,3082,984,3597,3263
+,831,5184,6249,746,2095,9638,2386,8764,3002,843,1101,3094,2844,5983,2227,2530,9449,7908,4769,3248
-,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,6240,2244,1187,4386,6519,5854,9730,3970,9713,7788,4676,6829,2712,6339,5608,162,9259,2104,8028,981
+,8006,1293,1415,3380,3714,6574,5919,7343,5287,7398,8066,8814,6298,8924,7834,8354,6196,2305,10000,8501
+,9511,1464,8048,5907,1448,5296,9435,8325,6903,8609,2136,5938,4269,1469,1963,9333,8779,7846,268,4959
-,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,7683,7951,5667,8704,1401,5554,911,1822,1855,4224,798,6300,7633,5414,8935,2625,553,1478,2035,8602
+,2416,1094,6413,7566,8357,2304,777,1480,3165,420,454,9807,3615,5692,1006,7024,1683,4854,4788,9557
+,143,5260,4450,844,5873,1118,6791,8248,7897,5537,5333,1853,9488,9752,4132,1216,3163,7723,1242,6118
+,2847,6643,6138,6980,1375,4851,5164,4244,4527,5608,9759,8467,6246,9887,8924,9461,6371,2991,948,2209
+,9756,9469,3026,133,285,1511,6942,7280,6625,9651,8762,2981,2878,4081,8652,8024,6839,7891,8112,6465
+,9228,4098,1637,4436,6078,7447,7127,9807,8663,502,8500,3929,6637,5816,9898,8191,3639,1706,1197,2860
+,5355,6463,453,4733,1238,2710,5001,6084,6943,3016,3533,4834,9282,9468,3764,225,2052,7659,8103,9435
+,4886,7738,6310,3796,6251,3087,9678,1747,3521,2337,6718,5176,7230,1647,9323,246,5469,7470,7958,5009
+,7775,1223,4415,3264,8000,4317,5108,211,3421,9227,3569,292,9124,4108,2885,2306,8087,2375,6283,2498
+,205,9668,623,1241,3444,9077,2437,5357,8884,6289,7325,8600,8315,4361,686,9732,2789,6162,2885,8870
+,9030,4417,8118,6472,1175,4960,1905,8040,3094,705,4319,8350,4877,2829,8187,6983,6627,1337,5012,5164
+,6013,1957,4690,6078,4711,6799,4103,7087,251,8611,6711,9848,8919,9726,6822,2023,4650,7257,2287,7413
+,1363,192,8095,3448,6042,8655,751,3839,1962,9945,367,1383,6319,9707,2453,8884,4735,1362,5083,577
+,6818,4859,4214,8576,5612,2616,2030,517,7923,2502,3671,2133,7686,3842,9461,9789,8046,6905,7959,6525
+,9000,1132,7833,82,1660,3010,9461,4717,3648,2951,4332,4673,4556,3520,7584,8372,8200,4231,9147,8596
+,9612,6256,5262,9184,6524,4330,7,4636,7441,3024,3149,4047,6317,7552,6870,2138,7270,3973,6995,3286
+,133,6327,8260,9233,6542,4250,875,5795,5511,9827,2683,6347,9907,3389,3449,7971,5979,3914,8350,668
+,650,1849,7204,3022,617,9332,1642,2066,9339,9950,2215,7776,3453,2422,3911,9680,49,4336,4028,1241
+,5394,2882,5980,3939,4181,4398,4227,4648,302,2360,9059,8387,2685,7208,902,1637,9490,7490,9870,7027
+,9297,3648,9475,9595,935,928,9091,6876,507,6666,3113,5351,9833,4519,8495,483,1531,2797,7071,8854
+,4293,1200,6318,7223,144,5068,9115,444,9883,9516,8931,6224,6032,7061,9357,171,5829,9872,2837,1302
+,8629,9764,1271,1163,6499,3890,9343,3092,6342,4782,1984,6951,685,4079,674,9079,4865,4887,9190,6654
-,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,3635,1102,4915,7569,1865,8259,6623,5730,1628,7334,2754,8586,6020,3520,9522,2500,6148,685,1660,9520
+,8537,9130,8703,598,1471,8358,7756,1916,5642,2234,130,3677,6718,7341,133,1130,9334,5516,1215,7412
+,296,9762,5499,1010,450,4844,2659,5213,8260,5197,7808,1127,7807,9130,8057,4101,4426,4089,767,1731
+,6341,5463,7705,9133,4335,5216,25,9244,4722,2439,4225,2946,5863,7675,766,203,7164,6349,314,1215
-,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,4838,2083,7816,2801,4564,1335,1729,5345,2045,4542,8695,6331,2336,5086,4480,4069,1597,1816,9074,106
+,753,9713,9403,7199,785,7617,6237,3591,5485,6612,481,2002,8830,2220,898,2308,4859,1128,652,7764
-,939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,5414,1031,4356,9673,2739,7989,1675,589,8285,6924,5463,8597,2672,8281,5604,3172,6441,9427,7322,7382
+,2304,9438,5135,3466,9067,8273,322,8696,7591,1425,2560,8788,3526,3611,7775,7673,5213,3044,3853,5885
+,6671,4502,4209,2127,5957,7699,6147,5879,4560,4582,8218,9579,8546,5732,1588,5854,6949,2325,3545,698
+,3106,6217,1949,6479,4779,7690,3241,1577,5967,1891,9119,6310,4972,3239,5629,3130,272,9239,6393,5092
+,6043,291,7478,4861,3336,6903,38,3807,4964,3526,2070,9227,6541,3121,5658,1166,1710,9415,9390,4989
-,732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,8050,6198,4836,7720,1871,3272,4465,7493,1192,9854,9865,6096,5653,222,5122,7657,7573,1067,713,3516
+,4147,2345,8452,5645,2378,1547,1483,4160,7316,9911,5082,7380,2033,8631,6861,8190,2328,1470,4962,425
+,5757,2581,7776,1194,4606,4841,2281,2028,3581,4035,3814,1709,9044,6455,4958,678,5683,1720,6564,867
+,9229,9016,3396,8159,2576,7180,4215,4403,7640,9156,3137,8255,3901,3420,9277,2230,2155,5429,445,7738
+,2325,2552,9952,3384,9912,3006,4068,8322,8422,5293,1681,4487,812,3707,1877,8812,3022,9222,6047,9795
+,8973,847,3284,1249,3653,346,7446,7130,8177,9634,6750,7681,2496,5005,9308,2260,3382,6340,4149,200
+,2226,4858,5315,3245,9289,3975,250,4708,943,5543,8856,3159,5210,3442,2171,8788,4380,5268,1736,6461
+,8363,3754,6118,8867,9122,1969,7808,5539,8219,6221,7953,2177,2528,9217,5062,3240,2017,4374,6980,9159
+,5072,4835,2281,2506,5971,5380,8828,9548,1377,9847,451,8896,3986,9202,2047,3374,8956,2160,657,6417
+,2543,3869,9624,8603,7949,4981,9225,7238,5260,4053,9445,5926,9880,3478,2216,7792,4500,5832,7156,591
+,9207,5444,4646,5921,297,3635,7698,6305,6471,1161,2848,2401,6176,6318,582,3149,7126,2706,4139,7577
+,7779,2848,5953,3591,1108,834,1688,3004,9825,5047,4191,2314,8173,6822,8055,2023,3626,4957,3991,8876
+,5974,1639,9826,9433,9447,6528,2280,9471,8732,4692,2692,149,2338,2381,2721,7161,3401,6505,2296,7393
+,8650,6525,8631,5074,3207,4053,1315,1743,6734,6958,6906,8647,1744,2380,3208,8215,7526,1479,9075,9743
+,3330,1919,4080,6637,5416,1813,8863,4769,1108,8570,1760,952,5231,6048,9607,123,5472,8882,5940,4538
+,7157,2309,186,5014,679,4235,651,5161,8289,2289,5413,3684,2675,2389,4509,1243,1072,6998,9012,2006
+,567,1677,4485,7610,4635,6174,7767,926,2665,5957,1432,4616,9329,1185,225,3241,7098,432,1851,5368
+,1409,3562,1954,4224,5482,6883,1570,4890,6698,7484,5193,1766,4941,789,3455,8151,8476,3190,7438,7038
+,8704,3807,6308,8229,3970,6180,3751,5014,2563,8269,8814,1334,4684,6651,3369,9199,1456,4936,5834,8998
+,9826,7853,9095,9996,8534,2389,6244,1152,2518,8105,6298,407,1086,8244,4641,5013,835,550,4940,5159
+,5480,5157,6298,7450,4379,2415,5734,4379,8873,3988,2458,7299,1386,3099,6613,3138,831,4550,5570,2977
+,7071,3983,6691,6936,7784,2157,3252,7334,3320,3779,5168,2517,9323,1614,1316,9981,5727,7229,8631,7786
