OP,A1,A2,A3,A4,A5
+,6716,3481,6173,3676,3265
+,6108,2355,6958,2015,2726
+,4482,5926,31,9304,7897
+,2802,7133,4736,1512,2165
+,960,4592,3656,3533,4933
+,3101,1680,4243,1881,2399
+,7881,9962,8037,6828,6630
+,1345,2263,1597,3120,3285
+,7098,2070,2947,6262,4396
+,9625,6759,9459,2069,9677
+,206,5513,5793,5378,3
+,1061,8185,2877,3236,3265
+,2595,8082,9427,1609,568
+,5197,3546,5250,5163,3155
+,4143,1764,5798,7733,867
+,8519,9235,5174,7983,9103
-,941,0,0,0,0
+,1921,7993,7379,1415,9651
+,8800,4006,6519,1416,1789
+,1851,6719,3119,3766,5714
+,6869,2261,6094,2604,3039
+,8440,8060,5755,97,489
+,8939,172,1620,1428,4384
+,8360,6482,2541,9244,5778
+,9273,6248,4766,719,5946
+,3894,3710,4550,1967,1794
+,9708,654,7558,8173,189
+,2740,8488,3934,1408,8410
+,106,2645,3573,1240,5136
+,5712,7106,4303,705,4741
+,8552,1538,2065,4452,447
+,9055,3780,6882,3443,8497
+,6452,7025,5193,6269,8222
+,607,2182,9300,2362,413
+,1036,6591,913,8530,6554
+,4183,3875,5654,6170,3699
+,7153,530,5131,1890,2688
+,9874,665,9753,7074,2444
+,8834,5718,5280,6439,5152
+,8703,7478,8344,1895,7892
+,3347,6558,2180,965,3502
-,901,0,0,0,0
+,3757,5547,4961,2082,2586
+,5006,7078,8008,9300,7690
+,8840,6209,5642,121,9383
+,9083,5730,1519,9177,9406
+,6482,4519,9414,8638,374
+,2640,5027,8967,5947,9211
+,7981,5261,5626,9525,631
+,7741,3552,2016,1863,7858
+,2194,930,619,3334,3679
+,9464,5061,6559,6128,8730
+,1274,1098,5133,6913,2167
+,2184,3123,6073,6585,8747
+,5814,8330,3723,986,594
+,4772,2025,6033,5705,5307
+,3616,4680,4880,5925,9888
+,5210,6487,6429,9534,9425
-,84,0,0,0,0
-,683,0,0,0,0
+,5450,4165,2388,3077,7020
+,1212,8358,3779,7216,3939
+,6940,7874,4161,997,5985
+,1391,1465,4751,108,8684
+,5636,8319,8503,7600,7190
+,4683,2084,9140,2501,9966
+,149,6075,862,3908,3644
+,3483,9877,1679,9958,2435
+,4900,4341,2615,9873,5525
+,8398,5482,3179,8736,5522
+,2648,96,5810,703,8547
+,3065,9986,2151,151,2260
+,224,780,6671,7891,9274
+,784,3867,1095,423,7243
+,4272,3330,3217,6229,7248
+,8676,626,6912,8839,5778
+,4395,4568,2467,7954,164
+,6825,6282,5640,7160,7645
+,5823,8924,2252,9415,1445
+,2605,3194,1713,3436,3062
+,8624,4992,2443,1218,1854
+,1901,521,8420,8416,9447
+,1496,7250,1561,6789,3681
+,18,3259,2763,3978,6496
+,4434,4212,8528,6618,872
+,7292,9934,4427,6803,1554
+,3187,1850,2228,4088,2240
+,3346,6099,3871,5197,8134
+,6974,8242,2547,9674,7222
+,3583,6952,6000,4880,8492
+,6468,8581,8661,2315,8133
+,544,5268,3839,607,7470
+,3633,1676,7056,4447,6376
+,3901,1413,6890,5901,6153
+,5163,2573,824,4627,6356
+,7618,3696,5009,5351,4149
+,5110,4910,8457,5532,8136
+,2442,3653,7854,953,2786
+,9851,6813,2993,2798,126
+,7809,9783,9225,1330,9319
+,6849,900,7326,1323,8635
+,6529,390,5274,2803,5576
-,438,0,0,0,0
+,4561,6908,3203,223,6407
+,9338,9036,7450,7024,725
+,252,9009,7890,1660,5781
+,2876,7791,6109,9095,9773
+,5380,3218,5428,3878,7500
+,1172,5991,7276,9880,5664
+,67,3290,4579,112,7006
+,6017,1563,3746,7765,6920
+,2634,533,2005,7549,244
+,3600,9725,6113,5995,5359
+,4058,9928,3037,5197,9419
+,169,7951,9951,8629,8366
+,7286,6950,7153,3356,7994
+,3280,4375,8537,2100,3978
-,431,0,0,0,0
+,3615,4173,8598,5641,7322
+,2148,1423,1614,1828,9712
+,9884,1942,1358,7305,1125
+,7714,4678,5064,4540,3017
+,3837,5349,566,1301,3904
+,3916,8738,9876,7820,4577
+,9719,7312,2940,3789,549
+,4250,7431,2514,1663,1813
+,2240,7987,1772,1925,9363
+,528,6783,6067,5413,3807
+,3075,8561,324,8441,3137
+,7443,3864,6730,4622,351
+,7200,4244,5826,5112,4524
+,9040,4856,5943,7428,6840
+,3812,105,4510,1740,5026
+,5510,9088,8324,7899,3754
+,1375,73,7646,9881,6416
+,8173,7899,1870,9159,3111
+,3455,9764,7256,1264,2539
-,926,0,0,0,0
+,8723,5707,9677,649,4984
-,277,0,0,0,0
+,7031,1211,3568,8629,4687
+,3466,8273,9241,7434,3824
+,3103,1750,2299,2835,9211
+,6193,9708,8745,3141,2732
+,4565,1646,6339,1852,1222
+,8875,4872,9963,5466,9295
+,5629,5499,7278,2740,5136
+,4744,4261,6675,5089,280
-,621,0,0,0,0
+,8684,2993,7908,9559,3373
+,6566,4557,386,632,4100
-,330,0,0,0,0
+,4124,1715,4059,9610,9837
+,2258,6726,9586,8245,2348
+,3736,9320,5944,65,2754
+,4816,2203,4422,8875,8089
+,427,4813,8781,6712,4988
+,2348,5277,2609,6076,6707
+,2009,2104,9070,5068,1085
+,808,6595,3673,9788,9529
+,2032,9161,1234,1326,778
+,6470,7629,3089,4918,5246
+,9835,7278,9195,9887,4554
+,1342,4920,9643,5387,6788
+,3320,9317,1694,7093,918
+,7659,1427,1779,3575,537
+,5976,1119,2978,3769,37
+,7711,8029,2739,8424,1684
-,506,0,0,0,0
+,2398,4960,2610,3412,8446
+,2753,1687,6556,6402,3049
+,5632,3286,7366,5900,7884
+,9089,1710,1600,3690,7195
-,61,0,0,0,0
+,4245,623,3501,2520,3108
+,8420,9941,7149,3645,4389
+,27,5442,7673,7586,1384
+,3173,6098,9430,6796,312
+,6628,7403,9046,4652,6432
+,862,815,9545,878,3975
+,6766,8240,9247,3159,5864
+,647,2936,1542,3894,2309
+,1449,4159,1871,3032,9279
+,4227,7029,2949,972,4699
+,2538,7347,7565,5229,6547
+,7480,9444,1779,5464,8777
+,293,1704,5279,170,6993
+,6597,8606,3800,1387,5502
+,6871,7119,8712,9802,7054
+,349,9338,7187,7174,5146
+,9110,9766,4811,2620,4732
+,3538,1093,9335,4777,8030
+,3735,5772,5660,5450,8707
+,3708,9610,5302,6479,8763
+,1196,1320,9875,2140,9120
+,3512,2302,4740,3841,8974
+,7416,2779,6006,1840,8235
+,3412,9022,8522,9109,5510
+,2863,9797,8057,3384,6675
+,3094,224,7630,3458,8244
+,4736,4823,3703,4298,8485
+,8817,9039,4317,8802,3003
-,232,0,0,0,0
+,104,9305,4283,4945,6652
+,3861,7727,4632,1901,9408
+,502,4828,1261,9540,4952
+,5350,1481,1009,2984,9978
+,4641,7578,8922,253,9483
+,3457,5279,3293,5832,1005
+,9908,3411,6789,9522,4411
+,1536,1050,4557,6982,7896
+,5769,6327,5957,3711,9373
+,8966,8387,3706,4824,4399
+,7069,7045,2741,4393,8232
+,9812,7893,920,8261,1779
-,408,0,0,0,0
+,1518,9606,7477,5980,8254
+,7580,5906,5236,1119,5359
+,3904,9353,2129,6084,3520
+,172,1679,6628,9342,54
+,8852,2641,8461,5379,4757
+,2042,4017,4731,8260,7300
+,4624,9163,1528,2250,4030
+,4558,9406,5580,4571,641
+,8135,5918,1657,2610,2553
+,6546,6720,8622,5294,7214
+,9120,2183,1436,6451,9439
+,9000,9961,4407,991,8551
+,3936,687,1901,7400,1575
+,2878,100,2159,9576,4841
-,321,0,0,0,0
+,660,1093,3855,6542,9135
+,9947,583,3920,3945,9602
+,1372,6007,3397,1060,3811
+,1077,9671,5747,7580,402
+,6817,6716,5363,3846,1918
+,9152,948,3396,4040,6632
+,1419,3313,2083,7729,3117
+,2193,6967,2831,840,8582
+,5388,9919,7671,6919,9266
+,1091,4384,1272,5038,7418
+,5834,7711,5574,4362,5265
+,9963,1979,705,9313,6183
+,1890,7673,8498,8966,8010
+,1315,6716,6263,2639,4912
+,8554,5296,1859,2186,3412
+,2043,4736,7277,3839,2834
+,8604,4813,6445,9060,7411
+,2645,1429,3688,2465,2799
+,920,6436,4928,1065,8258
+,1627,5221,899,9125,3551
-,679,0,0,0,0
+,7271,2386,4974,5840,4982
+,237,1343,5118,4267,463
-,561,0,0,0,0
+,827,7604,8013,3985,2954
+,1994,1747,266,1637,2421
+,7167,4221,4132,3914,4721
+,7453,2167,4871,6313,3357
+,4645,6535,6018,5176,3461
+,2948,511,2497,9999,8392
+,2024,6221,6829,663,7144
+,6701,7978,4057,652,7294
+,8524,1139,6238,7860,5161
-,618,0,0,0,0
+,330,3808,2950,6348,4546
+,8892,7280,226,1391,3068
+,6272,2326,9409,6420,627
+,7489,5237,9905,2418,8086
-,633,0,0,0,0
+,4403,2013,9894,7622,5992
+,1346,6398,671,412,1757
+,6567,2458,702,9001,7470
+,9752,5830,2694,9907,5615
-,563,0,0,0,0
+,9243,8659,1734,4558,1681
+,7053,6408,6769,5342,5001
+,6901,3300,4007,4754,9236
+,3575,7148,9024,6036,4506
+,6346,5433,9334,7241,6997
+,7077,1724,9720,3644,543
+,7535,1465,4102,5423,5060
+,1993,4124,7797,3032,8987
+,4874,9577,9967,7765,3213
+,4474,2832,1105,9110,7179
+,9682,2121,8991,6747,9570
+,9583,288,2273,679,6264
+,9277,8946,9550,2630,6177
+,4684,4062,3387,2253,7737
+,5891,724,2541,3095,7467
+,9460,1937,9674,5576,1004
+,4719,2157,2025,4822,7003
+,7757,6641,5433,2678,2841
+,7293,6524,4308,7911,9873
+,5290,9576,5555,5338,1863
+,2757,6017,8202,9570,8932
+,2001,6996,3968,717,8481
+,641,2647,1334,3849,6683
+,6364,6759,5716,3314,8389
+,5685,798,5474,164,8013
+,1624,6892,4808,6039,7890
+,8449,6151,1235,5233,6549
+,1469,1593,8858,8650,1784
+,3905,8607,4370,3206,634
+,4548,5967,9801,5407,2629
-,191,0,0,0,0
+,8796,5101,3525,8334,7159
+,6414,9802,5459,8722,7782
+,4594,9608,7245,7006,2409
+,817,8767,931,5066,9679
+,7926,1372,6094,4061,8556
+,690,5063,9707,3784,5204
+,6435,1670,7938,6332,7015
+,36,5538,7219,324,8934
-,362,0,0,0,0
+,7704,4195,8061,6517,1886
+,3123,1818,3424,1329,2441
+,5711,8376,406,3797,5424
+,6878,6097,6532,9369,3081
+,3262,836,3219,5495,2832
+,7310,6545,1201,6876,2489
+,3769,429,8536,2193,8853
+,9225,5000,8298,9205,6872
+,2541,8189,525,6437,5748
+,4780,7193,7342,8825,990
+,8352,8783,6019,4739,7785
+,9538,3797,8444,1411,1635
+,2893,834,8945,658,7056
+,1510,475,2701,1011,1327
-,866,0,0,0,0
+,475,4690,9205,8188,156
+,9850,8224,8057,4376,8966
+,6635,4914,4887,2707,8488
+,9509,2351,4926,3387,6874
+,6185,7158,1067,2121,132
+,2400,7982,5941,1998,4933
+,2123,392,4880,7234,606
+,9414,8138,6681,6351,466
+,144,5867,5704,8814,7369
+,5719,266,4509,3404,3156
+,389,4605,2641,434,5487
+,301,2651,6913,2995,349
+,867,5424,941,9414,3248
+,6327,5874,2009,5685,7682
+,6060,9043,6804,2823,5706
+,3079,4838,2537,1076,4036
+,7060,1878,3934,9255,2228
+,6041,7307,5776,8860,2493
-,392,0,0,0,0
+,3767,6059,6846,2340,7747
+,5912,6841,3100,9438,1405
+,2790,6908,4315,3392,3169
+,7892,1319,8645,6171,5852
+,7179,66,8294,8090,1754
+,1300,4063,331,4422,1886
+,9352,1526,3842,6992,2546
+,3944,4646,7046,5892,1522
+,2537,7362,8112,5082,3890
+,4026,2134,2503,6660,4331
+,1322,3887,106,6185,2765
+,8446,4154,9030,8789,2697
+,1163,1295,8668,5374,9308
+,6357,9647,8213,2680,9349
+,5576,2153,5987,6256,795
+,9495,9250,1640,8716,2033
+,7240,4810,1614,4045,8690
+,1578,1579,6652,1783,814
+,3696,3886,1293,6673,2016
+,1117,1981,6744,8198,818
+,753,10,6604,6085,6700
+,4528,4680,8122,7681,9080
+,6733,1576,7149,4895,1243
+,4784,2407,1009,6265,9419
+,2688,4492,2672,2882,6020
+,6743,5553,3841,9299,502
+,5863,8954,5992,4719,2397
+,6977,1955,4735,1027,626
-,740,0,0,0,0
+,2166,2144,9380,2469,3360
+,6396,7748,2695,4725,5529
+,1963,6731,5307,5014,6267
+,8809,5015,5676,5631,8460
+,5940,18,6858,5945,5570
+,907,6155,7914,2296,5905
+,936,9488,3647,8700,3364
+,9967,824,3341,9543,5884
+,7482,5845,9632,5226,7080
+,6618,6530,5667,1173,2335
+,1634,4784,2801,8686,503
+,8114,522,1340,6179,5537
+,1223,7738,6583,5009,9640
+,6644,4049,5744,215,2429
+,8223,8916,3675,926,3718
+,1745,7716,1090,3238,5253
+,2321,5187,4814,4466,9857
+,1893,1697,1813,3078,695
-,171,0,0,0,0
+,9926,5456,1059,8193,5653
+,8984,8101,7898,5312,1319
+,8292,8952,2344,8847,5417
+,4214,414,6624,6303,492
+,4813,3622,1079,4444,1913
+,7325,3811,2019,8765,7186
+,3052,2212,8957,8867,4706
+,1340,15,9797,6917,9856
+,5713,6910,3852,9211,763
-,159,0,0,0,0
+,3781,764,4547,3194,3628
+,8257,6054,8979,2282,4573
+,2543,7012,8630,5272,319
+,1114,5086,6557,3758,5360
+,9341,7826,5144,5861,7844
+,4867,7922,9196,2508,9214
+,1088,5477,8260,2829,4051
+,1833,1763,4561,8401,2726
+,2782,7134,6262,1235,1984
+,8297,5970,6533,2774,6218
+,2237,2633,4773,1840,3732
+,5606,1093,2114,1794,1669
+,9255,6784,2766,1059,6718
+,4707,278,8965,8726,6824
+,9933,6796,2396,768,7317
+,5128,465,6388,7670,747
-,445,0,0,0,0
+,8197,6010,4069,7827,702
+,7321,3339,6850,7772,5914
+,2301,305,4456,8338,6501
+,5369,4566,4239,8237,873
+,5425,9127,4252,6417,1550
+,5145,9651,8557,6619,747
+,7621,6520,1081,6966,3975
-,972,0,0,0,0
+,6511,7777,4495,7346,3312
+,2579,7731,2372,5209,9813
+,7280,8742,3952,5809,9984
+,3365,8367,5766,2658,324
-,685,0,0,0,0
+,6142,2872,4850,3578,2760
-,410,0,0,0,0
+,9736,6149,3717,8847,4530
+,3942,2589,983,9610,2665
+,9776,6483,2953,3544,513
+,157,8073,4219,9237,840
+,2022,9423,7725,8126,6030
+,3337,5948,4646,357,2774
+,8368,312,3789,7944,9204
+,7186,8885,5055,4778,4076
-,411,0,0,0,0
+,5282,7335,6204,7242,8326
+,7985,8519,2253,99,5915
+,7360,6502,9059,9689,9660
+,8689,5527,9755,8978,10000
+,6220,2283,6340,3882,4036
+,1597,8501,6703,8240,4356
+,2137,2530,910,5319,9929
+,8028,1509,8480,1526,1169
+,863,4290,6624,8864,2412
-,739,0,0,0,0
+,6600,6966,9585,4808,2681
+,8614,8657,5146,3001,5743
+,541,7409,5808,229,5525
+,3431,1215,4169,1068,322
+,4766,1123,2590,8020,4125
+,9703,553,163,6882,8699
+,1555,3103,8187,3547,6530
+,7597,7494,4565,5072,9272
+,2647,7124,8278,2922,369
+,2951,6311,84,9658,5623
+,4995,5887,3599,7593,1481
+,9175,151,8033,3791,2670
+,7658,9873,5387,1998,8573
+,4942,4101,7329,8486,3082
+,5432,9140,2019,8145,3219
+,8645,7803,579,2219,6005
+,8046,7209,7491,4807,7752
+,3427,8920,4020,7694,6273
+,8367,2796,3251,6859,8595
+,2139,713,9660,9452,3071
+,7684,7563,8275,5133,585
+,4465,4369,2823,5643,6318
+,4601,3016,3999,7552,7939
+,3118,7160,3992,896,9083
+,8216,919,3364,2652,5388
+,1752,1095,5597,1840,373
+,6921,9511,1914,6044,1907
+,5143,281,7285,4166,7804
+,5689,1659,2627,5237,9936
+,2984,4008,4181,6639,7251
+,9378,2120,3683,3451,8266
+,408,1874,8746,2323,1451
+,1992,5176,774,8112,3228
-,9,0,0,0,0
+,8327,4639,9516,1335,6350
+,7706,5362,3450,3507,896
+,6207,9718,6978,7532,6396
-,79,0,0,0,0
+,8944,3070,4183,9444,4498
-,514,0,0,0,0
-,68,0,0,0,0
+,2192,4696,4441,6144,9912
+,2366,4144,639,560,6830
+,669,6892,154,6990,255
+,3082,273,1487,4599,3117
+,3177,9221,3656,8369,762
+,609,2913,8666,2513,6829
+,6440,3628,310,7158,5189
+,884,6933,3847,7138,3452
+,8051,2294,9240,8557,7169
+,9791,861,9308,2531,7051
+,6249,8591,3997,2439,8431
+,666,5066,2460,7193,4529
+,9350,4915,5733,2703,6590
+,2345,1099,6872,9196,9247
+,6308,2868,4952,3431,5174
+,9715,8068,9081,4100,9994
+,7363,363,7205,2326,3479
+,8305,2568,6133,2952,8140
+,9971,6900,9072,7671,2538
+,1069,5337,2778,110,9741
+,9401,7939,5666,1784,4846
+,9139,6344,3687,3109,4199
+,3157,3268,2592,2126,8335
+,3561,1529,6105,7691,5085
-,889,0,0,0,0
+,5571,2122,4461,6820,8292
+,3349,2040,4273,4164,3954
+,8337,6460,3141,9685,2457
+,256,6258,9881,4010,2692
-,324,0,0,0,0
+,7125,3768,2040,1159,6709
+,711,2162,6560,284,7748
+,2255,3663,1808,1575,747
+,6675,1535,5270,124,284
+,3273,5416,4422,8676,9045
+,2922,5960,7281,2147,7076
+,11,3198,4665,3174,7288
+,2,8433,8612,2549,4616
+,7039,9163,1665,9158,3086
+,9770,360,9393,5734,5580
+,5199,9207,6191,5193,4159
+,3960,3049,8869,6827,6383
+,9301,1300,4246,4012,4498
+,9328,606,6925,3865,4657
+,1505,7995,7410,4837,4294
+,9522,3093,6593,6927,2967
+,2567,930,8504,4834,4914
+,8904,750,5678,7956,2674
-,16,0,0,0,0
+,9037,8793,532,1119,4404
+,9830,1134,3701,1958,2563
+,4007,9813,351,1615,2407
+,4301,6121,2728,2919,3829
+,1657,3844,6614,2673,6950
+,7036,6797,4073,2475,3207
+,7024,5160,1365,7617,7719
+,6267,5750,4387,2573,736
+,9836,3716,3917,1458,4956
-,305,0,0,0,0
+,9054,8925,3653,2863,210
+,1178,5598,2500,7928,3018
+,2792,1190,1009,2158,2949
+,3202,1983,6196,7242,6705
+,5547,5553,8960,3792,4547
+,9422,7898,6872,6320,6980
+,739,1509,8651,6166,977
+,6954,8544,3785,307,9426
+,7442,1644,6479,5416,6896
-,735,0,0,0,0
+,1377,1471,7491,5771,2430
+,9551,1813,866,7056,5997
+,3189,5070,5030,9710,8452
+,6432,9082,9668,9679,7888
+,9692,6643,2376,2181,6899
+,4812,3986,1304,1131,9130
-,810,0,0,0,0
+,5136,6070,8691,4490,793
+,6607,4513,9561,8698,8501
+,3051,943,6800,3097,7611
+,1503,9556,3853,1228,4099
+,4269,3089,5332,6898,9966
+,5294,9213,6240,140,1083
+,492,824,763,3760,6995
+,7463,8443,663,3196,9391
-,866,0,0,0,0
+,581,1790,3626,4615,8955
+,8571,3895,7285,5485,4914
+,122,951,4346,2557,5671
+,4876,4568,9847,467,9836
+,1369,4701,2590,96,3953
+,4673,2373,3135,2323,2300
+,4350,1152,5056,1041,1959
+,5374,5739,1724,1009,7397
+,9019,3629,9294,2423,4596
+,4223,510,2379,7140,9009
+,7308,7730,2696,1593,6405
+,7405,7625,3530,4799,1578
+,9594,1414,1947,6571,8019
-,877,0,0,0,0
+,3072,2970,3127,3768,5800
+,7530,8203,364,32,6681
+,6714,7770,2616,498,5103
+,8610,5547,6707,1117,2365
+,7166,3924,1670,2761,8228
+,102,4298,5797,3662,6945
+,2249,4856,2149,567,9514
+,2326,8585,307,3772,4501
+,6610,1477,7064,40,8863
+,8594,2081,1745,1284,2680
+,2120,1372,4768,4343,3985
+,4531,1673,7036,6484,3931
+,8921,6307,1695,4346,2456
+,2185,5435,3036,4167,7153
+,7173,8239,2175,8623,4516
+,599,1352,6455,7686,9747
+,5212,6305,4991,2389,2014
+,4915,2985,4325,1924,1626
+,1514,1217,3206,8201,7359
+,8768,575,834,8841,5424
+,6485,8256,3952,6817,5624
+,8202,7913,725,25,5791
+,9360,1716,1680,5779,7607
+,1292,188,8176,6937,2318
+,3083,194,2119,9774,2923
+,2145,6091,5650,720,9250
-,752,0,0,0,0
+,3205,4590,7104,8306,2532
+,3585,2115,9957,2689,6593
+,2214,2262,3413,8829,3289
+,1350,1056,5604,1303,2508
+,5384,4014,6264,5326,2015
+,6088,3303,8013,2579,9471
+,4164,6331,5818,2873,5709
+,7314,7586,5107,5875,1338
+,3193,1842,5977,8503,7092
+,825,8754,7096,2234,6383
+,7724,9134,6271,2206,1352
+,613,8130,5153,576,1913
+,143,7941,7651,7050,1650
+,9832,1294,2849,5310,193
+,4975,6619,135,1798,4271
+,1900,4566,5554,2488,1851
+,2785,4338,4785,4202,233
+,5058,427,1951,1691,6766
+,1837,7454,4401,3014,949
+,6029,3375,940,8361,5772
+,4621,6089,7135,2484,2883
+,4324,5830,4175,7894,8645
+,6342,9096,1171,1244,9148
+,8878,697,4835,5323,6842
+,5797,3622,835,1343,181
+,5890,1413,1827,7665,4590
-,290,0,0,0,0
+,2654,7569,1617,5743,8859
+,2559,8399,8786,8402,4732
+,3759,9708,4080,7782,4549
+,8706,56,2098,6340,5128
+,4921,38,1342,6504,589
-,420,0,0,0,0
+,2278,4187,3747,1449,3784
+,9828,3318,4447,2670,1908
+,9229,3616,8375,2633,3162
+,68,3196,3765,2488,910
+,4114,6901,3696,901,3979
+,9270,176,7228,2038,1381
+,9817,4878,5899,5213,4063
+,6404,2255,9171,5804,7592
+,5909,8187,2683,8840,5259
+,2467,9599,7992,7977,4050
-,921,0,0,0,0
+,2468,3422,8230,2631,8876
+,3395,1080,598,3841,8526
+,4544,1744,9831,8551,7133
+,5758,1978,7465,8778,2016
+,935,5851,2597,740,8005
+,1017,3007,9897,8575,4015
+,7828,9825,8876,6154,3664
-,920,0,0,0,0
+,3028,6283,5194,4649,5022
-,220,0,0,0,0
+,8130,4654,9023,8533,4114
+,6560,2774,5956,4222,4715
+,6646,7673,7505,846,6471
-,370,0,0,0,0
+,3015,6823,853,3170,6620
+,5857,9943,2957,7307,9135
+,2636,6085,1228,3153,9905
-,86,0,0,0,0
+,5839,1359,43,1623,4229
+,6775,4980,1982,966,1991
+,9578,112,7099,4124,4164
+,756,9424,250,1446,8842
+,800,2766,4812,8979,9659
+,3146,7305,1279,2735,464
+,3476,8811,9317,8332,6872
+,7010,4406,9448,7998,6725
+,6091,4202,5781,4386,8505
+,1332,5610,5556,5308,8330
-,508,0,0,0,0
+,4771,1884,5272,8042,1604
+,4000,934,9853,6954,1206
+,3573,6715,3519,7030,8645
+,8077,5598,3781,6793,8654
+,5754,1195,3409,8515,7645
+,7108,4704,4613,8437,2719
-,451,0,0,0,0
-,548,0,0,0,0
+,30,8967,4471,6926,4997
+,9300,3375,8805,4327,5044
+,5747,7538,8720,8125,4563
+,161,9240,2015,5239,4502
+,720,1589,2994,1904,538
+,8720,6988,3366,6017,6663
+,4258,7362,7357,9312,9453
+,8784,8887,8192,4473,2062
+,6449,3163,7244,7299,8691
+,4494,4194,4651,729,1456
+,7768,9961,1708,7853,9762
+,8634,9759,6428,1971,4504
-,668,0,0,0,0
+,8613,7873,3278,1197,5124
+,9581,6404,4541,5879,9019
+,430,77,6118,1727,5154
+,8755,5340,7129,4043,8416
+,9716,9491,2251,5475,6257
+,9041,6703,8974,2662,8007
+,9826,2405,8908,6142,973
+,6287,3398,9254,6684,9325
+,452,4064,5187,1843,9158
+,1352,7816,7845,6534,6045
+,7804,1721,9191,2367,2081
+,1956,4548,692,8307,3820
+,6012,5168,2774,5346,447
+,8832,4113,2548,3968,2070
+,1475,5740,2248,4290,2847
+,9819,5816,1385,8282,4820
+,5730,5508,9483,6287,6641
-,676,0,0,0,0
+,858,8779,921,3060,1238
+,2153,9808,8658,1289,3867
+,7495,6086,7011,3816,7299
+,6604,9468,289,9369,7700
+,7795,9956,4983,2985,3421
+,8399,108,7028,7928,3739
+,1929,448,1596,4231,2777
+,3294,8290,9758,4843,9612
+,9410,7972,9546,7403,483
+,9336,93,3143,6727,9345
+,5075,9104,8420,2355,7647
+,4504,1054,1100,1385,8695
+,9735,835,2614,4714,9251
+,3782,4151,7248,8959,3148
+,5076,1753,2839,919,6687
+,2142,885,2263,9964,4883
+,9397,5614,3321,267,1081
+,3604,6090,5991,3802,3240
+,8010,4034,4362,9789,8613
+,8763,7743,7,4773,8400
+,6899,3819,571,9781,5625
+,3338,7436,1363,9150,5689
+,4608,8334,1761,4119,7684
+,199,8178,5984,9577,477
+,8595,3602,2183,3824,2944
+,5611,4943,265,7698,6957
-,338,0,0,0,0
+,4522,4314,9922,9474,8294
+,4445,8342,7461,6884,730
+,4571,2135,3737,5942,173
+,3046,979,791,8760,8617
-,418,0,0,0,0
+,8511,1942,3931,7910,4898
+,7034,3557,5173,5791,1307
+,5155,2033,3777,3168,7107
+,2929,2854,5183,5763,4267
+,4243,7026,175,8822,2580
+,2699,6671,5466,173,9497
+,3281,543,3156,6589,5514
+,9660,7956,4566,2888,8724
+,998,530,3937,4267,2692
+,8070,2371,2418,2246,2101
+,570,8293,3470,1429,1805
+,8309,6772,3395,9801,373
+,1216,7752,8354,9804,3784
+,7508,274,8622,9431,7462
+,6459,6073,5548,9380,1492
+,4108,1314,25,7520,8973
+,1012,375,3381,2852,1418
+,8691,4511,5575,8476,8836
+,2336,6576,4104,584,1102
+,2106,6103,8774,5946,4349
+,3241,9266,5951,4719,6898
+,112,8886,5852,3163,3705
+,8325,4393,9086,2360,9111
+,4034,668,1993,7267,4787
+,6305,472,2592,9205,43
+,8485,4931,410,435,3123
+,2205,5991,408,1005,2664
+,6666,3166,9888,190,6042
+,7204,1755,836,2288,4586
+,9700,2614,3090,1400,3416
+,3386,4005,4425,637,3191
+,6808,1783,375,1624,5934
